with high debt and very low amm liquidity:,,,,,,,,,,,,,,
timestamp,cumulative_bad_debt,liquidatable_count,liquidatable_pct,median_hf,mean_hf,min_hf,liquidations_this_step,seized_usd_this_step,debt_closed_this_step,bad_debt_this_step,price_WETH,price_WBTC,price_SOL,price_USDC
2022-11-09 07:59:00,1439838620.320028,0,0.0,3.037096638870576,6.0614545373620965,1.0010125245180734,0,0.0,0.0,0.0,1274.35,18240.72,19.29,1.0
2022-11-09 07:59:00,985257375.0191921,2993,29.93,1.9012500311964367,4.409718128711245,0.032707469751832086,5,115064.9050936207,270192.50222500233,283548.3022174876,1274.35,18240.72,19.29,1.0
2022-11-09 07:59:00,1373455967.8650162,2993,29.93,1.9012500311964367,4.409746440980484,0.032707469751832086,25,132345.24791062102,103359.70315582777,108492.53514966786,1274.35,18240.72,19.29,1.0
2022-11-09 07:59:00,1373455967.8650162,2993,29.93,1.9012500311964367,4.409746440980484,0.032707469751832086,25,132345.24791062102,103359.70315582777,108492.53514966786,1274.35,18240.72,19.29,1.0
2022-11-09 07:59:00,1414634965.8056035,2812,28.12,1.9012500311964367,4.45905684414281,0.21021991513154348,12,203885.52467051524,160506.70462580436,168482.47361895652,1274.35,18240.72,19.29,1.0
2022-11-09 07:59:00,1414634965.8056035,2812,28.12,1.9012500311964367,4.45905684414281,0.21021991513154348,12,203885.52467051524,160506.70462580436,168482.47361895652,1274.35,18240.72,19.29,1.0
2022-11-09 07:59:00,132529488.97418271,42,42.0,1.0221488962455227,1.1252268477609018,0.6835067760375322,1,2220.7808134117754,1598.5342851273983,1575.246452304094,1274.35,18240.72,19.29,1.0
2022-11-09 07:59:00,104179055.71393193,29,28.999999999999996,1.0963982540032626,1.3356590099422463,0.7408790747569183,2,1384.917110835827,992.0965984785937,992.8940871372636,1274.35,18240.72,19.29,1.0
2022-11-09 07:59:00,114738304.40079057,28,28.000000000000004,1.0918876300522746,1.2897986797248793,0.7229204614650592,2,4.127964257511969,3.0473197950621027,2.9030862712206553,1274.35,18240.72,19.29,1.0
2022-11-09 07:59:00,117448181.83424479,29,28.999999999999996,1.0974657756529473,1.2752278173675347,0.7128700917480697,1,5159.197222226333,3660.8170922440877,3803.3603660782546,1274.35,18240.72,19.29,1.0
2022-11-09 07:59:00,89066445.01779565,18,18.0,1.2212767739796009,1.457836796448214,0.7837052035978505,1,269.2425228110492,210.38207053797873,135.60474418614785,1274.35,18240.72,19.29,1.0
2022-11-09 07:59:00,89066445.01779565,18,18.0,1.2212767739796009,1.457836796448214,0.7837052035978505,1,269.2425228110492,210.38207053797873,135.60474418614785,1274.35,18240.72,19.29,1.0
2022-11-09 07:59:00,87454825.31816393,17,17.0,1.2352789901917038,1.4741462042458033,0.7926905621513987,1,0.0599820234105428,0.04705040745811204,0.023357927116155634,1274.35,18240.72,19.29,1.0
2022-11-09 07:59:00,3415299719.776554,3045,30.45,1.2059043596227232,1.4331009317847172,0.6015392792481534,34,9483421.423155574,6866357.360232986,7209380.129903742,1274.35,18240.72,19.29,1.0
